Site Name,County,State Name,State Abbreviation,County FIPS
Columbia GA,Columbia County,Georgia,GA,13073
Woodbury IA,Woodbury County,Iowa,IA,19193
Sedgwick KS,Sedgwick County,Kansas,KS,20173
Ford KS,Ford County,Kansas,KS,20057
Lea NM,Lea County,New Mexico,NM,35025
Scioto OH,Scioto County,Ohio,OH,39145
Osage OK,Osage County,Oklahoma,OK,40113
Deaf Smith TX,Deaf Smith County,Texas,TX,48117
Millard UT,Millard County,Utah,UT,49027
Laramie WY,Laramie County,Wyoming,WY,56021
Seminole OK,Seminole County,Oklahoma,OK,40133
Jefferson GA,Jefferson County,Georgia,GA,13163
Chatham GA,Chatham County,Georgia,GA,13051
Delaware IN,Delaware County,Indiana,IN,18035
Roanoke VA,Roanoke County,Virginia,VA,51161
